"matricula","data_admissao","cargo","mes_referencia","remuneracao_bruta","remuneracao_eventual","beneficios","descontos_legais","remuneracao_liquida"
"173","25/03/1991","AGENTE DE APOIO","8/2017","19641,53","0,00","0,00","6046,34","13595,19"
"193","18/04/1991","AGENTE DE APOIO","8/2017","16473,65","0,00","0,00","4178,68","12294,97"
"210","16/09/1991","AGENTE DE APOIO","8/2017","23246,08","0,00","0,00","7272,91","15973,17"
"388","28/08/2014","AGENTE DE SEGURANÇA LEGISLATIVA I","8/2017","3798,99","0,00","0,00","570,26","3228,73"
"470","30/03/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","8/2017","3550,46","0,00","0,00","481,30","3069,16"
"471","15/04/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"473","26/05/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","8/2017","3550,46","1183,49","0,00","442,09","4291,86"
"503","06/08/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","8/2017","4012,02","0,00","0,00","565,25","3446,77"
"283","23/07/1992","AGENTE OPERACIONAL II","8/2017","14860,44","4953,48","0,00","4790,96","15022,96"
"369","01/09/2014","ANALISTA LEGISLATIVO ADMINISTRADOR I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"459","13/11/2014","ANALISTA LEGISLATIVO ADMINISTRADOR I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"475","01/06/2015","ANALISTA LEGISLATIVO ADMINISTRADOR I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"528","24/05/2016","ANALISTA LEGISLATIVO ADMINISTRADOR I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"367","29/08/2014","ANALISTA LEGISLATIVO ARQUITETO I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"452","03/11/2014","ANALISTA LEGISLATIVO ARQUITETO I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"534","22/08/2016","ANALISTA LEGISLATIVO ARQUIVISTA I","8/2017","7782,13","2594,04","0,00","1943,10","8433,07"
"393","04/09/2014","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","8171,24","0,00","0,00","2029,39","6141,85"
"395","04/09/2014","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"454","07/11/2014","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"474","26/05/2015","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","8171,24","77,82","0,00","2057,00","6192,06"
"479","01/06/2015","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","8949,45","0,00","0,00","2253,32","6696,13"
"504","24/09/2015","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","7782,13","0,00","0,00","1787,07","5995,06"
"505","28/09/2015","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","7782,13","0,00","0,00","1787,07","5995,06"
"512","01/10/2015","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","8560,34","0,00","0,00","2115,29","6445,05"
"513","09/10/2015","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"538","23/01/2017","ANALISTA LEGISLATIVO ASSESSORAMENTO JURIDICO I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"482","15/06/2015","ANALISTA LEGISLATIVO ASSISTENTE SOCIAL I","8/2017","7782,13","0,00","0,00","1891,35","5890,78"
"373","26/08/2014","ANALISTA LEGISLATIVO AUDITOR I","8/2017","8482,52","0,00","0,00","2087,68","6394,84"
